FileName,ModId,ModVersion,DisplayName,Slug,ProjectId,FileId,Sha1,LookupUrl
memorysettings-1.21-6.0.jar,memorysettings,6,memorysettings mod,,526901,7934534,cf94148dab1e03ee5c737657efe0371f1132a145,https://www.curseforge.com/minecraft/search?class=mc-mods&search=memorysettings%20mod
minecolonies-1.1.1349-1.21.1-snapshot.jar,minecolonies,1.1.1349-1.21.1-snapshot,MineColonies,,245506,8422807,aebb544862795d5784b2f01fdfef4ea41567fabd,https://www.curseforge.com/minecraft/search?class=mc-mods&search=MineColonies
mininggadgets-1.18.7.jar,mininggadgets,1.18.7,Mining Gadgets,,351748,8414578,4b016f6b02cca15ec0150ed5f59e33ab07caf9e1,https://www.curseforge.com/minecraft/search?class=mc-mods&search=Mining%20Gadgets
moredragoneggs-5.0.jar,moredragoneggs,5,More Dragon Eggs,,358700,5746086,c9b26ad977aaa6c2d1bd1ad681edd77cf466537d,https://www.curseforge.com/minecraft/search?class=mc-mods&search=More%20Dragon%20Eggs
morered-1.21.1-6.0.0.3.jar,morered,${file.jarVersion},More Red,more-red,387638,5763286,a69f18365301470c0fc2b07125c9ba3c10f270f6,https://www.curseforge.com/minecraft/mc-mods/more-red/files/all?page=1&pageSize=20
MoreRed-CCT-Compat-1.21.1-1.3.0.jar,moreredxcctcompat,1.21.1-1.3.0,More Red x CC:Tweaked Compat,more-red-x-cc-tweaked-compat,867286,6165477,534c64c86798ca691f0565bbf3fe09c9795a12df,https://www.curseforge.com/minecraft/mc-mods/more-red-x-cc-tweaked-compat/files/all?page=1&pageSize=20
multipiston-1.2.58-1.21.1.jar,multipiston,1.2.58-1.21.1,Multi-Piston,,303278,7097877,2b63be739da24247328e4052ec91c928230d0390,https://www.curseforge.com/minecraft/search?class=mc-mods&search=Multi-Piston
productivebees-1.21.1-13.13.5.jar,productivebees,1.21.1-13.13.5,Productive Bees,,377897,8022994,31f7bb1567fdbb508db133f5b094d5d0d293030d,https://www.curseforge.com/minecraft/search?class=mc-mods&search=Productive%20Bees
productivefarming-1.21.1-0.5.2.jar,productivefarming,1.21.1-0.5.2,Productive Farming,,944463,7612556,8277bd447b89589c54eea1a91c76a689dcbecf12,https://www.curseforge.com/minecraft/search?class=mc-mods&search=Productive%20Farming
productivemetalworks-1.21.1-1.15.0.jar,productivemetalworks,1.21.1-1.15.0,Productive Metalworks,,1184570,7884786,994781120d75e17c21851d1d3c5a2789a006eb49,https://www.curseforge.com/minecraft/search?class=mc-mods&search=Productive%20Metalworks
productivetrees-1.21.1-1.0.0.jar,productivetrees,1.21.1-1.0.0,Productive Trees,,867074,8190022,f3c4f098e50b519a186230c328bad20f91659044,https://www.curseforge.com/minecraft/search?class=mc-mods&search=Productive%20Trees
ProjectE-1.21.1-PE1.1.0.jar,projecte,1.1.0,ProjectE,,226410,6611984,24fb5997727453a15e956522761a3f586e646c2a,https://www.curseforge.com/minecraft/search?class=mc-mods&search=ProjectE
refurbished_furniture-neoforge-1.21.1-1.0.22.jar,refurbished_furniture,1.0.22,MrCrayfish's Furniture Mod: Refurbished,,897116,7473565,6c209e6b755ff26218efd55aedf2dea49183d29b,https://www.curseforge.com/minecraft/search?class=mc-mods&search=MrCrayfish's%20Furniture%20Mod%3A%20Refurbished
structurize-1.0.832-1.21.1-snapshot.jar,structurize,1.0.832-1.21.1-snapshot,Structurize,,298744,8398574,96f0c0d236ac3bfb361cbb05d0b0c140fb77d3d5,https://www.curseforge.com/minecraft/search?class=mc-mods&search=Structurize
towntalk-1.2.0.jar,towntalk,1.2.0,Towntalk,,900364,5653504,6866d898938bdde1a17fadee16983c0c6071eac6,https://www.curseforge.com/minecraft/search?class=mc-mods&search=Towntalk
treetap-1.21.1-0.4.6.jar,treetap,1.21.1-0.4.6,Tree Tap,,927874,8146520,d7423d6ac17c8298546261e6e210cafa2fb5ff79,https://www.curseforge.com/minecraft/search?class=mc-mods&search=Tree%20Tap
twilightforest-1.21.1-4.8.3345-universal.jar,twilightforest,4.8.3345,The Twilight Forest,the-twilight-forest,227639,7797302,9cfd4154928433e2f1f6cfc3deb48c284debb580,https://www.curseforge.com/minecraft/mc-mods/the-twilight-forest/files/all?page=1&pageSize=20
xtonesreworked-1.1.1-1.21.1.jar,xtonesreworked,1.1.1-1.21.1,XTones Reworked,,694231,7032490,2daa001d39b43ba379991b944e022ab365c74cfd,https://www.curseforge.com/minecraft/search?class=mc-mods&search=XTones%20Reworked
xycraft_core-0.7.53-all.jar,xycraft_core,0.7.53,XyCraft Core,,653786,6872525,c734345c9c5eff8f50551a344fff6b5f1c14c6e7,https://www.curseforge.com/minecraft/search?class=mc-mods&search=XyCraft%20Core
xycraft_machines-0.7.53.jar,xycraft_machines,0.7.53,XyCraft Machines,,653791,6872530,db40db00830c67a33ac48c1dd9617f67069b22b4,https://www.curseforge.com/minecraft/search?class=mc-mods&search=XyCraft%20Machines
xycraft_override-0.7.53.jar,xycraft_override,0.7.53,XyCraft Override,,653790,6872531,0fe04397966d3a6a04fd65b6d55a8e6b5623b7be,https://www.curseforge.com/minecraft/search?class=mc-mods&search=XyCraft%20Override
xycraft_world-0.7.53.jar,xycraft_world,0.7.53,XyCraft World,,653789,6872532,100aed4d7cc9f10aa21f3571d9c367a4bd44cf6f,https://www.curseforge.com/minecraft/search?class=mc-mods&search=XyCraft%20World
