"File","Nested","ContainerJar","Loader","ModIds","DisplayName","Version","Authors","Credits","LicenseDeclared","LicenseNormalized","LicenseCategory","Homepage","IssueTracker","BundledLicenseFiles","LicenseFileCount","RootLicenseFiles","ComponentLicenseFiles","AmbiguousLicenseFiles","SplitLicenseHint","SniffedLicenseFiles","Sha1","PackVersion","ModrinthProjectId","ModrinthSlug","ModrinthTitle","ModrinthLicenseId","ModrinthLicenseName","ModrinthLicenseUrl","ModrinthLicenseCategory","ModrinthUrl","LicenseAgreement"
"createdeco-2.1.3.jar","False","","NeoForge","createdeco, neoforge, minecraft, create","Create Deco","2.1.3","Kayla, Talrey, Ordana, Cassian","","All Rights Reserved","All Rights Reserved","ARR - check terms","","https://github.com/talrey/CreateDeco/","","0","","","","False","","93d9eff58b46c6953e907d071e6be4e3ce07be38","v0.0.1-Alpha","sMvUb4Rb","create-deco","Create Deco","MIT","MIT License","","Permissive","https://modrinth.com/mod/create-deco","MISMATCH"
"CreateDragonsPlus-1.11.2b.jar","False","","NeoForge","create_dragons_plus, neoforge, minecraft, create","Create: Dragons Plus","1.11.2b","DragonsPlus","","LGPL-3.0-or-later","LGPL","Weak copyleft","https://github.com/DragonsPlusMinecraft/CreateDragonsPlus","https://github.com/DragonsPlusMinecraft/CreateDragonsPlus/issues","LICENSE.txt; LICENSE-CREATE.txt","2","LICENSE.txt; LICENSE-CREATE.txt","","","False","","c0427a7f657f583694e485186621bdeda16ca8dd","v0.0.1-Alpha","dzb1a5WV","create-dragons-plus","Create: Dragons Plus","LGPL-3.0-or-later","GNU Lesser General Public License v3.0 or later","","Weak copyleft","https://modrinth.com/mod/create-dragons-plus","Match"
"createfood-neoforge-1.21.1-2.6.0.jar","False","","NeoForge","createfood, neoforge, minecraft, create, farmersdelight","Create: Food","2.6.0","average_anime","","GPL-3.0","GPL","Strong copyleft","https://github.com/AverageAnime/create-food-multiloader","","LICENSE_Create: Food","1","LICENSE_Create: Food","","","False","","3f38d35242974e17fc0fb93c3502cb7956ae1a9a","v0.0.1-Alpha","4HnO3el1","create-food","Create: Food","GPL-3.0-only","GNU General Public License v3.0 only","","Strong copyleft","https://modrinth.com/mod/create-food","Match"
"createframed-1.21.1-1.8.2.jar","False","","NeoForge","createframed, neoforge, minecraft, create","Create: Framed","1.8.2","DakotaPride","","MIT","MIT","Permissive","","","","0","","","","False","","222c998ffc62cd734e1318134c7f182c68f2b527","v0.0.1-Alpha","15fFZ3f4","create-framed","Create: Framed","MIT","MIT License","","Permissive","https://modrinth.com/mod/create-framed","Match"
"createnuclear-1.3.2-beta.3-neoforge.jar","False","","NeoForge","createnuclear, neoforge, minecraft, create","Create Nuclear","1.3.2-beta.3","Create Nuclear","","All Rights Reserved","All Rights Reserved","ARR - check terms","","https://github.com/Giovanniricotta2002/CreateNuclearForge/issues","","0","","","","False","","c4349006fd07e614b0de3c5982d7f0d0a818c98c","v0.0.1-Alpha","z611fdf7","createnuclear","Create Nuclear","MIT","MIT License","","Permissive","https://modrinth.com/mod/createnuclear","MISMATCH"
"CreateNumismatics-1.0.20+neoforge-mc1.21.1.jar","False","","NeoForge","numismatics, neoforge, minecraft, create","Create: Numismatics","1.0.20+neoforge-mc1.21.1","IThundxr, Violet, Pink, Slimeist, Razziel","","LGPL","LGPL","Weak copyleft","","https://github.com/Layers-of-Railways/CreateNumismatics/issues","","0","","","","False","","9883bfd6fef5bd5068f9174ddccba5047849c922","v0.0.1-Alpha","Jdbbtt0i","numismatics","Create: Numismatics","LGPL-3.0-only","GNU Lesser General Public License v3.0 only","","Weak copyleft","https://modrinth.com/mod/numismatics","Match"
"createoreexcavation-1.21-1.6.8.jar","False","","NeoForge","createoreexcavation, neoforge, create, minecraft, kubejs, kubejs_create","Create Ore Excavation","1.6.8","tom5454","tom5454","MIT License","MIT","Permissive","https://www.curseforge.com/minecraft/mc-mods/create-ore-excavation","https://github.com/tom5454/Create-Ore-Excavation/issues","","0","","","","False","","9a76b86ec7470d4bd7332f22d6e50a3693098c10","v0.0.1-Alpha","ResbpANg","create-ore-excavation","Create Ore Excavation","MIT","MIT License","","Permissive","https://modrinth.com/mod/create-ore-excavation","Match"
"CreativeCore_NEOFORGE_v2.13.41_mc1.21.1.jar","False","","NeoForge","creativecore, neoforge, minecraft","CreativeCore","2.13.41","CreativeMD","","LGPL-3.0-only","LGPL","Weak copyleft","https://modrinth.com/mod/creativecore","https://github.com/CreativeMD/CreativeCore/issues","","0","","","","False","","4b666b4668b77fdc1ac34a183aae58a432999970","v0.0.1-Alpha","OsZiaDHq","creativecore","CreativeCore","LGPL-3.0-only","GNU Lesser General Public License v3.0 only","","Weak copyleft","https://modrinth.com/mod/creativecore","Match"
"CreeperOverhaul-neoforge-1.21.1-4.0.6.jar","False","","NeoForge","creeperoverhaul, geckolib, resourcefulconfig, neoforge, minecraft","Creeper Overhaul","4.0.6","Artist/Creator - Joosh, Dev - ThatGravyBoat","","All rights reserved","All Rights Reserved","ARR - check terms","","","","0","","","","False","","5a07cc032df790e7d110ad3dedb7a76253ffd565","v0.0.1-Alpha","MI1LWe93","creeper-overhaul","Creeper Overhaul","LicenseRef-All-Rights-Reserved","","","ARR - check terms","https://modrinth.com/mod/creeper-overhaul","Match"
"Cucumber-1.21.1-8.0.16.jar","False","","NeoForge","cucumber, neoforge, minecraft","Cucumber Library","8.0.16","BlakeBr0","","MIT","MIT","Permissive","https://blakesmods.com/cucumber","https://github.com/BlakeBr0/Cucumber/issues","","0","","","","False","","0e97553af44d39d1976fe6feb4baf1c30c6b2f06","v0.0.1-Alpha","Rw1NrDzF","cucumber","Cucumber Library","MIT","MIT License","","Permissive","https://modrinth.com/mod/cucumber","Match"
