"File","Nested","ContainerJar","Loader","ModIds","DisplayName","Version","Authors","Credits","LicenseDeclared","LicenseNormalized","LicenseCategory","Homepage","IssueTracker","BundledLicenseFiles","Sha1","PackVersion"
"integratedscripting-1.21.1-neoforge-1.0.23.jar","False","","NeoForge","integratedscripting, cyclopscore, commoncapabilities, integrateddynamics, neoforge, minecraft","IntegratedScripting","1.0.23","rubensworks (aka kroeser)","","MIT","MIT","Permissive","https://www.curseforge.com/minecraft/mc-mods/integrated-scripting","https://github.com/CyclopsMC/IntegratedScripting/issues","LICENSE-graal.txt","6288f13c3c8db899c66d1d93e59ff72394c1ab8c","v0.0.1-Alpha"
"integratedterminals-1.21.1-neoforge-1.7.0.jar","False","","NeoForge","integratedterminals, cyclopscore, integrateddynamics, commoncapabilities, neoforge, minecraft, integratedterminalscompat","IntegratedTerminals | IntegratedTerminals-Compat","1.7.0 | 1.0.0","rubensworks (aka kroeser)","","MIT","MIT","Permissive","https://www.curseforge.com/minecraft/mc-mods/integrated-terminals","https://github.com/CyclopsMC/IntegratedTerminals/issues","","08e2c4bce70d8444a729f749e571ebe4074887c7","v0.0.1-Alpha"
"integratedtunnels-1.21.1-neoforge-1.9.4-632.jar","False","","NeoForge","integratedtunnels, cyclopscore, integrateddynamics, commoncapabilities, neoforge, minecraft, integratedtunnelscompat","IntegratedTunnels | IntegratedTunnels-Compat","1.9.4 | ${file.jarVersion}","rubensworks (aka kroeser)","","MIT","MIT","Permissive","https://www.curseforge.com/minecraft/mc-mods/integrated-tunnels","https://github.com/CyclopsMC/IntegratedTunnels/issues","","ca6400ff1f7b49a3b9fc1b90ebfbaa92cebb970a","v0.0.1-Alpha"
"interdimensionalwirelesstransmitter-neoforge-1.21.1-0.1.5.jar","False","","NeoForge","interdimensionalwirelesstransmitter, refinedstorage","Interdimensional Wireless Transmitter","1.21.1-0.1.5","Ultramega","","MIT","MIT","Permissive","https://www.curseforge.com/minecraft/mc-mods/interdimensional-wireless-transmitter","https://github.com/starforcraft/Interdimensional-Wireless-Transmitter/issues","","a276ff4472856fc1cd5fca1b94abbe401fd2ed05","v0.0.1-Alpha"
"interiors-1.21.1-neoforge-0.6.1.jar","False","","NeoForge","interiors, create","Create: Interiors","0.6.1","sudolev, rdh","","MIT","MIT","Permissive","https://www.curseforge.com/minecraft/mc-mods/interiors","https://github.com/aesefficio/CreateInteriorsMod/issues","","a558777ef4510da2f4d32ca3da6ac7384c9a9940","v0.0.1-Alpha"
"invtweaks-1.21.1-1.2.0.jar","False","","NeoForge","invtweaks, neoforge, minecraft","Inventory Tweaks Refoxed","1.21.1-1.2.0","LobsterJonn (Current maintainer)","MutantGumdrop (Port to modern), Yuitakaa (Maintainer), StanleyMines (Contributor), Landmaster (Original Author), JimeoWan, Kobata for the original 1.12.2 mod","Apache License, Version 2.0","Apache-2.0","Permissive","https://www.curseforge.com/minecraft/mc-mods/inventory-tweaks-refoxed","https://github.com/JDKDigital/InvTweaksRefoxed/issues","","f81426b87be821aba41da4483895760cf6248710","v0.0.1-Alpha"
"iris-neoforge-1.8.14-beta.1+mc1.21.1.jar","False","","NeoForge","iris, minecraft, embeddium","Iris","1.8.14-beta.1+mc1.21.1","coderbot, IMS212","","LGPL-3.0-only","LGPL","Weak copyleft","","","","1bd129cf7bce65d6b1c0543045f0620c98a0f885","v0.0.1-Alpha"
"ironfurnaces-neoforge-1.21.1-4.3.2.jar","False","","NeoForge","ironfurnaces, neoforge, minecraft","Iron Furnaces","4.3.2","Qelifern (pizzaatime), XenoMustache","","Apache License Version 2.0","Apache-2.0","Permissive","","","","9a40f949ec9794cdef79bdabb61a12a918613194","v0.0.1-Alpha"
"IronJetpacks-1.21.1-8.0.11.jar","False","","NeoForge","ironjetpacks, neoforge, minecraft, cucumber","Iron Jetpacks","8.0.11","BlakeBr0","Tonius, Tomson124","MIT","MIT","Permissive","https://blakesmods.com/iron-jetpacks","https://github.com/BlakeBr0/IronJetpacks/issues","","96bdaf7fa57b73a3c157edfc5d1afbfc2e23a65d","v0.0.1-Alpha"
"irons_jewelry-1.21.1-2.0.1.jar","False","","NeoForge","irons_jewelry, neoforge, minecraft, curios, atlas_api, irons_lib","Iron's Gems 'n Jewelry","1.21.1-2.0.1","Iron431","","All Rights Reserved","All Rights Reserved","ARR - check terms","","","","0b21f0535bcf9a1097cb634c5800b360f536e577","v0.0.1-Alpha"
